instanceID	label	comment	annotator
355_twist_nn	3	" "	sachin
66_quilt_nn	4	" "	sachin
69_maxim_nn	4	" "	sachin
54_lane_nn	4	" "	sachin
153_plane_nn	4	" "	sachin
233_graft_nn	4	" "	sachin
213_pick_vb	4	" "	sachin
240_grain_nn	4	" "	sachin
1423_tip_vb	1	" "	sachin
412_record_nn	4	" "	sachin
133_word_nn	4	" "	sachin
43_tree_nn	4	" "	sachin
119_edge_nn	4	" "	sachin
372_graft_nn	1	" "	sachin
107_face_nn	4	" "	sachin
102_tree_nn	4	" "	sachin
64_edge_nn	3	" "	sachin
318_head_nn	4	" "	sachin
143_attack_nn	3	" "	sachin
118_rally_nn	3	" "	sachin
82_tree_nn	4	" "	sachin
248_circle_vb	3	" "	sachin
27_tree_nn	4	" "	sachin
249_graft_nn	4	" "	sachin
80_edge_nn	4	" "	sachin
30_maxim_nn	4	" "	sachin
249_face_nn	2	" "	sachin
54_chairman_nn	4	" "	sachin
80_donkey_nn	4	" "	sachin
47_maxim_nn	4	" "	sachin
57_donkey_nn	4	" "	sachin
29_chairman_nn	4	" "	sachin
180_record_nn	4	" "	sachin
58_relationship_nn	4	" "	sachin
61_tree_nn	4	" "	sachin
25_graft_nn	1	" "	sachin
1217_tip_vb	1	" "	sachin
282_graft_nn	4	" "	sachin
365_graft_nn	4	" "	sachin
40_quilt_nn	4	" "	sachin
9_afternoon_nn	4	" "	sachin
661_ball_nn	1	" "	sachin
419_record_nn	4	" "	sachin
303_bit_nn	3	" "	sachin
208_ball_nn	1	" "	sachin
495_stab_nn	2	" "	sachin
