instanceID	label	comment	annotator
134_maxim_nn	4		ChatGpt
1097_stab_nn	4		ChatGpt
62_heel_nn	3		ChatGpt
620_graft_nn	2		ChatGpt
1193_tip_vb	1		ChatGpt
19_afternoon_nn	4		ChatGpt
327_tip_vb	2		ChatGpt
65_bag_nn	4		ChatGpt
92_contemplation_nn	3		ChatGpt
260_pick_vb	3		ChatGpt
563_bar_nn	2		ChatGpt
111_tree_nn	1		ChatGpt
73_donkey_nn	4		ChatGpt
122_plane_nn	4		ChatGpt
127_donkey_nn	4		ChatGpt
12_chairman_nn	4		ChatGpt
416_bar_nn	4		ChatGpt
182_rally_nn	2		ChatGpt
23_rally_nn	3		ChatGpt
253_rally_nn	3		ChatGpt
184_lass_nn	4		ChatGpt
39_afternoon_nn	4		ChatGpt
53_maxim_nn	4		ChatGpt
88_donkey_nn	4		ChatGpt
52_face_nn	3		ChatGpt
32_tree_nn	4		ChatGpt
444_prop_nn	4		ChatGpt
124_maxim_nn	4		ChatGpt
39_risk_nn	3		ChatGpt
108_lane_nn	3		ChatGpt
314_head_nn	4		ChatGpt
123_quilt_nn	4		ChatGpt
904_tip_vb	2		ChatGpt
554_bar_nn	2		ChatGpt
24_risk_nn	3		ChatGpt
35_rally_nn	2		ChatGpt
993_tip_vb	2		ChatGpt
494_stab_nn	4		ChatGpt
265_heel_nn	3		ChatGpt
370_twist_nn	3		ChatGpt
87_quilt_nn	3		ChatGpt
279_lass_nn	4		ChatGpt
90_fiction_nn	3		ChatGpt
65_maxim_nn	4		ChatGpt
356_twist_nn	2		ChatGpt
17_afternoon_nn	4		ChatGpt
117_tree_nn	3		ChatGpt
89_donkey_nn	4		ChatGpt
70_part_nn	3		ChatGpt
194_afternoon_nn	4		ChatGpt
219_graft_nn	4		ChatGpt
190_rally_nn	3		ChatGpt
317_ball_nn	3		ChatGpt
310_lane_nn	1		ChatGpt
108_gas_nn	3		ChatGpt
5_chairman_nn	4		ChatGpt
278_lane_nn	4		ChatGpt
157_pick_vb	3		ChatGpt
340_head_nn	4		ChatGpt
303_plane_nn	1		ChatGpt
1013_prop_nn	2		ChatGpt
85_rag_nn	3		ChatGpt
8_afternoon_nn	4		ChatGpt
522_bar_nn	2		ChatGpt
99_circle_vb	2		ChatGpt
284_graft_nn	4		ChatGpt
97_chef_nn	4		ChatGpt
110_face_nn	3		ChatGpt
650_twist_nn	2		ChatGpt
53_gas_nn	3		ChatGpt
126_land_nn	4		ChatGpt
275_heel_nn	3		ChatGpt
181_plane_nn	1		ChatGpt
144_lane_nn	4		ChatGpt
133_lass_nn	4		ChatGpt
468_twist_nn	3		ChatGpt
152_quilt_nn	4		ChatGpt
167_lass_nn	4		ChatGpt
346_head_nn	2		ChatGpt
24_chairman_nn	4		ChatGpt
380_record_nn	3		ChatGpt
454_player_nn	3		ChatGpt
84_prop_nn	4		ChatGpt
37_thump_nn	3		ChatGpt
220_rally_nn	3		ChatGpt
74_donkey_nn	4		ChatGpt
67_include_vb	4		ChatGpt
59_risk_nn	2		ChatGpt
358_word_nn	1		ChatGpt
468_bar_nn	1		ChatGpt
381_prop_nn	3		ChatGpt
150_bar_nn	2		ChatGpt
43_afternoon_nn	4		ChatGpt
256_lass_nn	4		ChatGpt
83_bag_nn	4		ChatGpt
218_tip_vb	2		ChatGpt
453_bar_nn	2		ChatGpt
385_pick_vb	3		ChatGpt
412_ball_nn	1		ChatGpt
89_prop_nn	4		ChatGpt
68_thump_nn	3		ChatGpt
89_pin_vb	2		ChatGpt
337_ball_nn	4		ChatGpt
141_donkey_nn	4		ChatGpt
1200_tip_vb	1		ChatGpt
26_afternoon_nn	4		ChatGpt
960_twist_nn	2		ChatGpt
441_stab_nn	3		ChatGpt
257_circle_vb	4		ChatGpt
113_include_vb	4		ChatGpt
98_plane_nn	4		ChatGpt
433_lass_nn	2		ChatGpt
203_graft_nn	2		ChatGpt
44_face_nn	4		ChatGpt
366_graft_nn	1		ChatGpt
469_part_nn	3		ChatGpt
41_chairman_nn	4		ChatGpt
1375_tip_vb	2		ChatGpt
41_tree_nn	4		ChatGpt
118_tree_nn	3		ChatGpt
60_stroke_vb	4		ChatGpt
115_pin_vb	2		ChatGpt
54_gas_nn	2		ChatGpt
290_chef_nn	4		ChatGpt
84_donkey_nn	4		ChatGpt
613_bar_nn	2		ChatGpt
276_ball_nn	3		ChatGpt
62_bit_nn	2		ChatGpt
31_chairman_nn	4		ChatGpt
81_stroke_vb	4		ChatGpt
50_chairman_nn	4		ChatGpt
83_savage_nn	2		ChatGpt
179_prop_nn	3		ChatGpt
35_savage_nn	3		ChatGpt
359_ball_nn	2		ChatGpt
23_donkey_nn	4		ChatGpt
244_graft_nn	1		ChatGpt
686_twist_nn	3		ChatGpt
403_ounce_nn	4		ChatGpt
91_gas_nn	3		ChatGpt
